TransactionID;AccountID;TransactionType;Amount;Date
TX28595427;ACC433844;Deposit;2746,2;09-10-25
TX15485596;ACC433844;Payment;2001,06;20-09-25
TX66905437;ACC433844;Payment;2363,18;02-03-25
TX96575307;ACC433844;Payment;1892,59;17-11-24
TX51185658;ACC433844;Transfer;1915,67;30-03-25
TX74962325;ACC433844;Investment;1285,67;24-07-25
TX57004810;ACC433844;Transfer;1949,72;09-10-25
TX20165327;ACC433844;Deposit;2353,04;28-10-25
TX21439427;ACC433844;Payment;2475,11;18-06-25
TX59023311;ACC433844;Investment;2356,37;13-05-25
TX51499115;ACC433844;Withdrawal;70,63;28-02-25
TX46087287;ACC433844;Payment;1772,75;03-07-25
TX53219804;ACC433844;Deposit;173,25;09-01-25
TX67436114;ACC841181;Investment;2781,7;22-04-25
TX89108725;ACC841181;Transfer;846,71;12-11-25
TX71953736;ACC841181;Deposit;1231,96;18-03-25
TX87102304;ACC841181;Deposit;1229,29;05-08-25
TX39240525;ACC841181;Transfer;482,68;05-07-25
TX10309162;ACC841181;Investment;2360,63;02-12-24
TX43379395;ACC841181;Investment;1994,34;29-07-25
TX94413422;ACC841181;Deposit;2480,33;24-08-25
TX45192839;ACC841181;Payment;335,74;07-09-25
TX49933431;ACC841181;Withdrawal;28,85;28-06-25
TX46628140;ACC841181;Investment;753,62;07-01-25
TX68039464;ACC841181;Investment;1662,37;15-06-25
TX28415027;ACC841181;Transfer;1073,87;31-12-24
TX88155158;ACC841181;Deposit;234,52;06-12-24
TX56292216;ACC841181;Investment;2368,93;08-01-25
TX17924700;ACC841181;Investment;652,1;21-09-25
TX80558024;ACC841181;Investment;2858,68;10-10-25
TX85581333;ACC841181;Investment;1898,49;22-05-25
TX95001941;ACC841181;Deposit;1519,37;24-01-25
TX42732457;ACC841181;Transfer;699,19;16-04-25
TX20549850;ACC841181;Investment;2711,16;09-11-25
TX77327488;ACC841181;Transfer;1662,35;11-10-25
TX72283815;ACC841181;Deposit;1049,93;20-07-25
TX55417313;ACC841181;Transfer;2384,48;20-08-25
TX91928422;ACC841181;Transfer;2514,54;06-01-25
TX94385064;ACC841181;Investment;44,69;03-02-25
TX23567995;ACC841181;Deposit;1380,27;20-08-25
TX39138258;ACC841181;Transfer;541,86;30-09-25
TX14173933;ACC972014;Withdrawal;1291,68;13-03-25
TX20660931;ACC972014;Transfer;10,97;04-07-25
TX50534081;ACC972014;Payment;2369,35;13-08-25
TX43402871;ACC972014;Payment;488,28;30-01-25
TX19224168;ACC972014;Withdrawal;1038,96;12-07-25
TX66061837;ACC972014;Withdrawal;501,42;16-07-25
TX95701638;ACC972014;Payment;1066,04;23-07-25
TX19013137;ACC972014;Payment;670,97;28-04-25
TX89682930;ACC972014;Deposit;639,62;04-11-25
TX90838418;ACC972014;Deposit;739,83;13-03-25
TX22212821;ACC972014;Investment;734,97;11-07-25
TX99810190;ACC972014;Investment;706,44;16-06-25
TX74385513;ACC972014;Deposit;1850,82;01-07-25
TX74718579;ACC972014;Investment;1250,25;27-10-25
TX36071858;ACC972014;Withdrawal;2038,54;24-05-25
TX59786744;ACC972014;Transfer;2262,02;26-11-24
TX16569010;ACC972014;Deposit;1238,81;14-03-25
TX44687390;ACC972014;Payment;1728,35;14-08-25
TX22750889;ACC972014;Withdrawal;1599,85;24-04-25
TX92869682;ACC972014;Transfer;2091,4;15-03-25
TX90132594;ACC972014;Deposit;356,03;24-01-25
TX66931197;ACC972014;Payment;432,81;06-02-25
TX46443081;ACC972014;Transfer;1539,29;19-02-25
TX42264619;ACC972014;Investment;1178,62;14-01-25
TX10178703;ACC972014;Transfer;2038,3;05-01-25
TX89092526;ACC972014;Investment;1525,88;10-01-25
TX23296091;ACC972014;Deposit;2330,59;14-09-25
TX19357520;ACC332941;Investment;2572,64;09-03-25
TX55747462;ACC332941;Transfer;1425,39;22-04-25
TX60826789;ACC332941;Investment;2657,43;06-02-25
TX89208380;ACC332941;Deposit;763,55;21-10-25
TX89177504;ACC332941;Withdrawal;2195,29;03-09-25
TX83883153;ACC332941;Investment;1609,29;29-12-24
TX57085378;ACC332941;Investment;1397,84;21-08-25
TX63069096;ACC332941;Payment;2530,76;16-11-24
TX52348220;ACC332941;Payment;1004,22;27-03-25
TX67470899;ACC332941;Payment;1597,07;11-12-24
TX59490324;ACC332941;Deposit;2462,69;17-02-25
TX44337083;ACC332941;Withdrawal;1401,6;18-05-25
TX60699163;ACC332941;Transfer;1232,17;19-09-25
TX43247675;ACC332941;Payment;2411,6;28-09-25
TX55841556;ACC332941;Withdrawal;627,83;02-07-25
TX67061077;ACC332941;Transfer;2632,66;25-04-25
TX74546663;ACC332941;Investment;549,26;20-11-24
TX91431780;ACC332941;Payment;2904,36;09-04-25
TX74343696;ACC332941;Payment;1639,03;27-09-25
TX15148172;ACC332941;Payment;226,95;28-12-24
TX77210439;ACC332941;Deposit;1542,54;15-12-24
TX93778353;ACC476905;Payment;2991,56;15-07-25
TX34585742;ACC476905;Withdrawal;133,3;27-12-24
TX68113485;ACC476905;Payment;664,23;17-05-25
TX86595394;ACC476905;Payment;2189,06;06-10-25
TX70114314;ACC476905;Payment;210,8;14-09-25
TX96130094;ACC476905;Transfer;1126,57;16-09-25
TX44564483;ACC476905;Deposit;2169,6;16-07-25
TX68721739;ACC476905;Transfer;1053,09;11-08-25
TX97528247;ACC476905;Withdrawal;30,05;25-03-25
TX79333102;ACC476905;Deposit;2494,95;04-03-25
TX92641602;ACC476905;Investment;1454,55;02-12-24
TX16613741;ACC476905;Payment;1897,81;02-01-25
TX91079707;ACC476905;Withdrawal;315,52;28-09-25
TX18994192;ACC476905;Payment;204,06;02-07-25
TX27616316;ACC476905;Transfer;1281,08;05-01-25
TX74829381;ACC476905;Transfer;2346,97;01-01-25
TX45036060;ACC476905;Deposit;2409,99;05-01-25
TX67041848;ACC476905;Deposit;2276,71;25-11-24
TX91756294;ACC476905;Deposit;2015,12;07-05-25
TX28328464;ACC476905;Payment;2141,14;17-09-25
TX52874895;ACC476905;Transfer;513,79;23-02-25
TX81056934;ACC476905;Payment;1044,15;14-04-25
TX87549947;ACC476905;Payment;1818,21;11-02-25
TX60146919;ACC476905;Deposit;1964,13;27-01-25
TX81459940;ACC268756;Investment;2276,01;18-12-24
TX89747673;ACC268756;Deposit;1424,39;19-02-25
TX56747133;ACC268756;Payment;2139,77;30-10-25
TX69210563;ACC268756;Transfer;610,75;17-09-25
TX53414306;ACC268756;Transfer;560,19;23-03-25
TX12191169;ACC268756;Withdrawal;648,66;13-08-25
TX33091991;ACC268756;Transfer;2606,58;30-06-25
TX65175014;ACC268756;Transfer;1523,64;22-04-25
TX29947295;ACC268756;Deposit;1675,99;11-04-25
TX56015480;ACC268756;Withdrawal;2089,99;04-12-24
TX49990405;ACC268756;Transfer;1355,07;01-01-25
TX54321065;ACC268756;Investment;2389,74;14-09-25
TX36711197;ACC268756;Investment;2078,61;21-03-25
TX30261777;ACC268756;Withdrawal;1912,1;07-04-25
TX71547534;ACC268756;Deposit;679;26-05-25
TX43316208;ACC268756;Transfer;2478,62;28-07-25
TX73175148;ACC268756;Deposit;660,05;24-11-24
TX52763109;ACC268756;Deposit;2472,18;02-09-25
TX41888637;ACC268756;Deposit;1987,6;22-04-25
TX63182878;ACC268756;Payment;2335,19;09-02-25
TX61776360;ACC268756;Investment;2950;10-12-24
TX28498223;ACC268756;Deposit;2322,12;10-12-24
TX22304095;ACC268756;Transfer;1108,2;18-10-25
TX52907197;ACC268756;Withdrawal;655,61;03-06-25
TX88766019;ACC268756;Withdrawal;782,43;06-09-25
TX97503615;ACC268756;Transfer;1248,65;11-08-25
TX33375518;ACC598393;Withdrawal;2473,86;03-01-25
TX40178887;ACC598393;Withdrawal;121,74;21-05-25
TX50390150;ACC598393;Payment;2352,4;12-04-25
TX38341631;ACC598393;Investment;2694,27;12-05-25
TX13617684;ACC598393;Investment;1545,03;05-03-25
TX66894285;ACC598393;Transfer;2703,38;03-08-25
TX14069930;ACC598393;Payment;2001,98;02-03-25
TX19537918;ACC598393;Transfer;2245,27;17-05-25
TX36566180;ACC598393;Transfer;2121,98;08-10-25
TX86293521;ACC598393;Investment;289,28;12-02-25
TX19520492;ACC598393;Investment;2709,77;01-02-25
TX45683904;ACC598393;Deposit;2405,04;15-09-25
TX99014541;ACC598393;Transfer;2574,78;15-11-24
TX52652573;ACC598393;Investment;1400,15;29-11-24
TX65139876;ACC598393;Investment;125,85;07-03-25
TX15748657;ACC598393;Deposit;957,72;28-01-25
TX99906438;ACC598393;Investment;72,17;12-05-25
TX79689382;ACC598393;Deposit;2548,29;15-01-25
TX43072739;ACC598393;Deposit;940,03;21-08-25
TX98414190;ACC598393;Withdrawal;48,07;24-07-25
TX90599229;ACC598393;Investment;2119,94;24-11-24
TX59038147;ACC598393;Deposit;121,62;22-04-25
TX93927665;ACC598393;Withdrawal;1537,35;25-11-24
TX94730004;ACC598393;Transfer;2815,55;02-05-25
TX21669750;ACC598393;Transfer;2593,98;30-06-25
TX46425773;ACC598393;Withdrawal;1174,83;08-09-25
TX39076581;ACC598393;Deposit;2972,08;27-10-25
TX47469868;ACC598393;Withdrawal;1329,67;02-09-25
TX61236210;ACC598393;Deposit;419,61;15-06-25
TX83556296;ACC598393;Deposit;690,48;18-04-25
TX54214295;ACC598393;Withdrawal;2605,89;29-06-25
TX46236107;ACC598393;Investment;2787,77;16-05-25
TX18241969;ACC598393;Withdrawal;1857,49;08-05-25
TX92602364;ACC598393;Deposit;638,85;25-09-25
TX99420365;ACC598393;Investment;1331,96;26-09-25
TX46753973;ACC598393;Investment;1950,28;25-07-25
TX42031722;ACC598393;Investment;1386,19;02-06-25
TX51593070;ACC598393;Withdrawal;1781,51;26-04-25
TX99312590;ACC598393;Deposit;2847,86;10-05-25
TX29515534;ACC964848;Investment;1090,48;17-05-25
TX30540138;ACC964848;Investment;1122,5;01-09-25
TX83152054;ACC964848;Investment;506,23;05-07-25
TX44850023;ACC964848;Withdrawal;167,9;17-09-25
TX51423139;ACC964848;Deposit;2092,92;17-05-25
TX25461267;ACC964848;Withdrawal;829,49;11-12-24
TX31271924;ACC964848;Transfer;2244,64;23-12-24
TX19692211;ACC964848;Transfer;1799,91;25-06-25
TX96740954;ACC964848;Withdrawal;616,48;15-04-25
TX86299769;ACC964848;Investment;1741,28;20-04-25
TX84324742;ACC964848;Transfer;2512,91;26-06-25
TX49277350;ACC964848;Withdrawal;186,51;26-07-25
TX91806651;ACC964848;Payment;79,77;17-09-25
TX18359194;ACC964848;Transfer;2100,42;20-02-25
TX69402004;ACC964848;Transfer;1367,34;26-10-25
TX66209034;ACC964848;Payment;2882,96;07-07-25
TX88741012;ACC964848;Withdrawal;1918,9;17-08-25
TX57956192;ACC964848;Transfer;1208,65;28-12-24
TX13019791;ACC964848;Withdrawal;1719,96;30-03-25
TX72609820;ACC964848;Payment;1929,52;20-10-25
TX36455968;ACC964848;Withdrawal;2222,99;16-11-24
TX48142683;ACC964848;Payment;1068;18-06-25
TX99586724;ACC415939;Transfer;100,07;23-01-25
TX57759211;ACC415939;Payment;696,23;20-04-25
TX85603913;ACC415939;Deposit;1822,51;22-07-25
TX30874620;ACC415939;Investment;742,63;01-01-25
TX86208157;ACC415939;Withdrawal;1792,35;01-10-25
TX56740206;ACC415939;Investment;2928,68;13-06-25
TX44299115;ACC415939;Deposit;2213,59;19-08-25
TX31565991;ACC415939;Payment;2654,33;03-09-25
TX70358284;ACC415939;Transfer;2991,73;17-04-25
TX70934667;ACC415939;Transfer;652,6;21-03-25
TX91168765;ACC415939;Deposit;1811,1;06-01-25
TX36568385;ACC415939;Payment;1397,7;12-08-25
TX53024994;ACC415939;Payment;2328,86;12-02-25
TX10363815;ACC415939;Transfer;1045,78;10-01-25
TX31994849;ACC415939;Payment;2926,15;15-02-25
TX98251705;ACC415939;Transfer;2558,38;30-11-24
TX78266840;ACC415939;Investment;921,62;04-11-25
TX61803053;ACC415939;Deposit;2369,28;05-09-25
TX48696751;ACC415939;Deposit;636,33;29-01-25
TX28847217;ACC415939;Transfer;1427,48;26-09-25
TX38824587;ACC415939;Investment;809,34;24-09-25
TX80163307;ACC415939;Transfer;1318,18;23-08-25
TX79571996;ACC415939;Transfer;2919,37;12-07-25
TX18871724;ACC415939;Transfer;502,24;04-09-25
TX23812976;ACC569932;Investment;2395,89;28-07-25
TX78114394;ACC569932;Payment;1893,59;14-08-25
TX57364453;ACC569932;Deposit;701,36;16-09-25
TX24469104;ACC569932;Withdrawal;2480,72;18-10-25
TX49569699;ACC569932;Investment;1069,18;13-07-25
TX95333481;ACC569932;Payment;910,92;10-10-25
TX75807827;ACC569932;Deposit;635,47;21-08-25
TX41194117;ACC569932;Investment;2695,22;12-12-24
TX54410003;ACC569932;Deposit;1031,22;06-12-24
TX80305835;ACC569932;Investment;469;10-02-25
TX63111853;ACC569932;Investment;1456,19;04-11-25
TX15797299;ACC569932;Investment;1692,41;11-08-25
TX83718236;ACC569932;Payment;472,16;07-05-25
TX23320056;ACC569932;Deposit;1744,19;10-07-25
TX47706497;ACC569932;Payment;436,52;25-11-24
TX49207238;ACC569932;Payment;14,41;03-01-25
TX32581685;ACC569932;Payment;1466,06;23-06-25
TX52632494;ACC569932;Deposit;1328,03;06-04-25
TX89201841;ACC569932;Deposit;922,86;06-01-25
TX41883296;ACC569932;Withdrawal;2146,98;18-05-25
TX83202045;ACC569932;Transfer;1258,73;23-02-25
TX56030092;ACC569932;Payment;576,22;18-08-25
TX74780849;ACC569932;Deposit;1724,99;01-08-25
TX51380497;ACC569932;Withdrawal;945,06;31-12-24
TX43648110;ACC569932;Payment;383,44;02-11-25
TX49323906;ACC569932;Deposit;2968,41;06-10-25
TX94903351;ACC569932;Investment;1117,54;10-04-25
TX97425518;ACC183319;Payment;1470,73;21-04-25
TX66984168;ACC183319;Withdrawal;1969,88;18-12-24
TX65226984;ACC183319;Payment;1452,13;18-04-25
TX67828444;ACC183319;Deposit;1975,96;11-03-25
TX28532210;ACC183319;Payment;2580,09;28-10-25
TX12753274;ACC183319;Payment;374,08;24-01-25
TX67659961;ACC183319;Transfer;1364,7;05-12-24
TX53867000;ACC183319;Withdrawal;1543,98;15-11-24
TX96968159;ACC183319;Payment;2854,58;31-03-25
TX79331734;ACC183319;Investment;1532,89;30-08-25
TX15096034;ACC183319;Transfer;1740,05;04-12-24
TX69336549;ACC183319;Deposit;2609,47;09-01-25
TX50499492;ACC183319;Investment;693,33;07-10-25
TX10753481;ACC183319;Transfer;2797,31;17-12-24
TX91622195;ACC183319;Transfer;1986,69;08-05-25
TX97921322;ACC183319;Transfer;1714,78;09-04-25
TX98044093;ACC183319;Withdrawal;500,08;07-07-25
TX76886014;ACC183319;Withdrawal;552,6;03-04-25
TX78043849;ACC183319;Payment;2710,06;11-08-25
TX64987736;ACC183319;Investment;2781,74;29-04-25
TX20328730;ACC183319;Withdrawal;1678,5;01-01-25
TX67880533;ACC183319;Payment;433,29;23-04-25
TX49580594;ACC183319;Investment;762,13;04-03-25
TX51461565;ACC183319;Withdrawal;265,62;22-05-25
TX22645656;ACC183319;Payment;2189,74;01-12-24
TX72601459;ACC737782;Transfer;529,49;05-12-24
TX81010910;ACC737782;Investment;80,59;01-02-25
TX35339187;ACC737782;Investment;658,53;10-03-25
TX66602926;ACC737782;Payment;1568,25;02-11-25
TX91982561;ACC737782;Transfer;1872,32;24-07-25
TX83121908;ACC737782;Withdrawal;165,28;24-04-25
TX43929899;ACC737782;Withdrawal;700,01;15-02-25
TX92603972;ACC737782;Deposit;885,38;22-12-24
TX91379324;ACC737782;Deposit;2762,62;29-07-25
TX55391833;ACC153158;Withdrawal;877,93;24-02-25
TX58646547;ACC153158;Transfer;2773,94;27-07-25
TX65806672;ACC153158;Withdrawal;2725,76;31-03-25
TX85211587;ACC153158;Payment;1401,57;10-05-25
TX69584251;ACC153158;Transfer;467,7;13-11-25
TX64047872;ACC153158;Withdrawal;2282,47;02-02-25
TX30189535;ACC153158;Payment;2998,68;11-08-25
TX24094383;ACC153158;Withdrawal;1130,54;22-03-25
TX50664969;ACC153158;Investment;2483,52;19-02-25
TX63927846;ACC153158;Investment;2024,83;13-08-25
TX94112715;ACC153158;Withdrawal;617,32;21-09-25
TX29590422;ACC153158;Transfer;1941,57;22-07-25
TX95394832;ACC153158;Payment;2011,75;19-05-25
TX40951141;ACC153158;Withdrawal;1532,01;23-09-25
TX29621824;ACC153158;Withdrawal;155,48;19-05-25
TX13819621;ACC153158;Withdrawal;839,02;06-01-25
TX65599675;ACC153158;Payment;1317,34;17-05-25
TX11802619;ACC153158;Deposit;2989,21;02-10-25
TX24821886;ACC153158;Investment;79,79;09-08-25
TX21002817;ACC153158;Investment;650,42;31-01-25
TX98511638;ACC153158;Deposit;153,6;23-03-25
TX38198767;ACC153158;Deposit;339,22;04-09-25
TX24380197;ACC153158;Investment;2767,49;20-02-25
TX98517548;ACC153158;Investment;1142,36;28-03-25
TX75770339;ACC153158;Investment;603,52;29-06-25
TX10390967;ACC153158;Withdrawal;1707,55;29-11-24
TX32779953;ACC153158;Deposit;2319,45;08-04-25
TX84518983;ACC771936;Withdrawal;1699,52;20-09-25
TX37806044;ACC771936;Transfer;1165,03;05-08-25
TX93472623;ACC771936;Deposit;62,37;07-05-25
TX71304893;ACC771936;Investment;1296,18;29-04-25
TX33079725;ACC771936;Transfer;2326,86;02-04-25
TX20853221;ACC771936;Deposit;1258,65;06-12-24
TX66943895;ACC771936;Deposit;95,16;23-07-25
TX69094841;ACC771936;Investment;884,86;03-08-25
TX18534775;ACC771936;Transfer;2799,95;12-06-25
TX10459794;ACC771936;Deposit;1793,89;09-11-25
TX52327143;ACC771936;Investment;2037,11;18-10-25
TX36416945;ACC771936;Deposit;2545,09;19-07-25
TX67626765;ACC771936;Transfer;1800,88;16-03-25
TX14677827;ACC771936;Withdrawal;2218,51;11-04-25
TX89946038;ACC771936;Withdrawal;2739,23;04-06-25
TX44109043;ACC771936;Payment;2890,26;11-01-25
TX42357729;ACC771936;Transfer;2035,95;02-08-25
TX79024977;ACC771936;Withdrawal;1043,92;11-05-25
TX91138773;ACC771936;Transfer;2970,38;13-05-25
TX44641907;ACC771936;Investment;838;22-03-25
TX59003769;ACC771936;Deposit;241,42;04-02-25
TX84205275;ACC771936;Transfer;786,84;19-04-25
TX58755297;ACC771936;Deposit;2975,13;10-08-25
TX45254642;ACC771936;Withdrawal;2806,78;21-04-25
TX73978712;ACC771936;Investment;1361,18;01-07-25
TX82890806;ACC511138;Investment;2131,85;01-02-25
TX38605636;ACC511138;Withdrawal;455,66;26-06-25
TX73143738;ACC511138;Deposit;1349,09;29-01-25
TX10307022;ACC511138;Transfer;572,23;20-07-25
TX49410348;ACC511138;Investment;1987,43;06-02-25
TX81265397;ACC511138;Payment;1944,31;20-11-24
TX95007965;ACC511138;Withdrawal;1735,78;27-12-24
TX25388383;ACC511138;Investment;886,33;04-05-25
TX84885656;ACC511138;Payment;2272,36;25-07-25
TX21503697;ACC511138;Deposit;25,6;02-08-25
TX47772685;ACC511138;Transfer;1992,25;06-02-25
TX85230040;ACC511138;Payment;2152,78;29-11-24
TX32868831;ACC511138;Investment;1073,52;28-06-25
TX33104048;ACC511138;Withdrawal;2727,98;20-08-25
TX98583846;ACC511138;Transfer;900,08;09-07-25
TX79656255;ACC511138;Transfer;1322,97;10-09-25
TX81997017;ACC511138;Transfer;557,97;19-06-25
TX94320043;ACC511138;Deposit;1292,72;22-07-25
TX84097482;ACC511138;Payment;364,07;25-01-25
TX86308011;ACC511138;Investment;2048,05;10-03-25
TX67561384;ACC274643;Transfer;1304,36;11-02-25
TX49614517;ACC274643;Deposit;1752,9;06-09-25
TX30439705;ACC274643;Payment;2707,73;26-07-25
TX22528392;ACC274643;Deposit;657,64;16-08-25
TX30331596;ACC274643;Investment;2795,01;02-04-25
TX25505996;ACC274643;Withdrawal;1701,98;17-06-25
TX49560978;ACC274643;Deposit;2100,57;06-10-25
TX97825756;ACC274643;Payment;1201,56;05-12-24
TX10350816;ACC274643;Withdrawal;2828,26;29-04-25
TX20849904;ACC274643;Transfer;2480,52;15-09-25
TX14482774;ACC274643;Transfer;2341,07;23-03-25
TX81695290;ACC274643;Payment;231,61;09-10-25
TX74549052;ACC274643;Deposit;360,53;23-03-25
TX86691731;ACC274643;Deposit;1757,31;02-05-25
TX91955059;ACC274643;Payment;206,37;20-03-25
TX45344215;ACC274643;Payment;2351,58;20-11-24
TX33401241;ACC274643;Withdrawal;102,17;16-10-25
TX20271553;ACC274643;Withdrawal;2591,08;30-07-25
TX89244233;ACC274643;Investment;314,28;17-08-25
TX44519206;ACC932758;Deposit;1706,08;09-04-25
TX82354447;ACC932758;Payment;2950,78;04-08-25
TX86642931;ACC932758;Deposit;2909,32;15-05-25
TX22958168;ACC932758;Withdrawal;1045,82;13-03-25
TX71178543;ACC932758;Deposit;351,53;05-12-24
TX82049576;ACC932758;Transfer;2077,57;10-02-25
TX86760698;ACC932758;Investment;683,43;27-07-25
TX90870846;ACC932758;Transfer;1725,44;11-03-25
TX95514375;ACC932758;Deposit;1735,01;17-05-25
TX17160773;ACC932758;Deposit;2693,74;15-12-24
TX95867983;ACC932758;Investment;2462,99;02-06-25
TX53711766;ACC932758;Withdrawal;2688,17;21-04-25
TX80604134;ACC932758;Withdrawal;1090,87;24-05-25
TX88936101;ACC932758;Deposit;160,1;17-08-25
TX80067001;ACC932758;Payment;472,33;02-06-25
TX91703074;ACC932758;Withdrawal;1402,75;29-08-25
TX94810685;ACC932758;Deposit;2739,11;05-06-25
TX54101047;ACC353490;Transfer;1146,07;25-06-25
TX55675035;ACC353490;Transfer;2471,75;05-02-25
TX74175379;ACC353490;Transfer;2345,61;15-03-25
TX81648493;ACC353490;Deposit;616,72;16-09-25
TX24681996;ACC353490;Investment;360,34;18-09-25
TX56843210;ACC353490;Investment;2053,18;12-04-25
TX29245308;ACC353490;Withdrawal;1807,04;16-01-25
TX56600964;ACC353490;Transfer;1429,41;26-10-25
TX74755806;ACC353490;Deposit;753,07;17-09-25
TX11236540;ACC353490;Investment;1970,95;22-06-25
TX55791140;ACC353490;Payment;999,67;11-03-25
TX10571970;ACC353490;Transfer;2145,69;02-11-25
TX45166464;ACC353490;Investment;675,83;02-10-25
TX98345829;ACC353490;Transfer;353,49;27-10-25
TX34810898;ACC353490;Transfer;2321,85;21-03-25
TX32561467;ACC353490;Transfer;1987,02;13-12-24
TX39528772;ACC353490;Deposit;1946,47;07-08-25
TX69061684;ACC353490;Withdrawal;2045,65;16-07-25
TX81883366;ACC118805;Investment;1837,43;23-06-25
TX71883246;ACC118805;Transfer;2698,28;26-09-25
TX45503703;ACC118805;Withdrawal;322,09;31-01-25
TX62593994;ACC118805;Withdrawal;2251,34;05-01-25
TX93006053;ACC118805;Transfer;1615,66;21-03-25
TX59878856;ACC118805;Investment;867,58;23-01-25
TX42203671;ACC118805;Deposit;474,65;09-04-25
TX99771965;ACC118805;Investment;2722,21;04-12-24
TX14948744;ACC118805;Transfer;508,77;23-03-25
TX59571931;ACC118805;Payment;2131,79;01-03-25
TX92394190;ACC118805;Deposit;697,99;08-02-25
TX19671606;ACC118805;Deposit;2906,18;09-06-25
TX20553798;ACC118805;Transfer;2874,56;01-10-25
TX68811673;ACC118805;Deposit;2510,31;05-09-25
TX27839097;ACC118805;Investment;2803,24;04-08-25
TX93910849;ACC118805;Deposit;1908,07;06-01-25
TX50722638;ACC118805;Deposit;860,67;02-02-25
TX50632428;ACC118805;Investment;2258,43;22-06-25
TX85850369;ACC118805;Payment;133,94;08-04-25
TX51358992;ACC118805;Deposit;1197,69;09-08-25
TX99680803;ACC118805;Withdrawal;2474,29;26-05-25
TX47121653;ACC118805;Payment;1975,87;30-11-24
TX53151052;ACC118805;Payment;1623,19;16-07-25
TX17199899;ACC118805;Payment;715,25;30-07-25
TX24785330;ACC118805;Deposit;1140,23;09-11-25
TX80924979;ACC118805;Withdrawal;757,25;22-06-25
TX68126629;ACC118805;Payment;752,26;11-08-25
TX59099117;ACC118805;Deposit;826,78;27-04-25
TX22966902;ACC191951;Withdrawal;649,54;27-12-24
TX36929414;ACC191951;Withdrawal;2486,32;20-01-25
TX91836918;ACC191951;Transfer;2935,17;13-12-24
TX35034577;ACC191951;Transfer;2186,47;15-04-25
TX47768713;ACC191951;Investment;2462,18;28-01-25
TX29843513;ACC191951;Withdrawal;2840,53;18-06-25
